Head	CymD.D.LB	CymD.D.LRP	CymD.D.MRP	CymD.D.PD.FS851	CymD.D.PD.FS852	CymD.D.PD.FS854	CymD.D.PD.FS856	CymS.D.B	CymS.D.HRP.1	CymS.D.LRP.1	CymS.D.VD.FS841	CymS.D.VD.FS842	CymS.D.VD.FS844	CymS.D.VD.FS848	CymS.D.VD.FS849	CymS.D.VD.FS866	CymS.D.VD.FS872	CymS.D.VD.FS874	CymS.D.VD.FS877	CymS.D.VD.FS879	CymS.D.VD.FS881	GyBn.D.NBP	LBAb.D.HRP	LBAb.D.LRP	LBAb.D.NBB	LBKM.D.HRP	LBKM.D.LRP	LBKM.D.MRP	LBKM.D.NBP	LBMa.D.BPB	LBMa.D.RP	LBTa.D.APB	LBTa.D.RP	LBTu.D.RP
M12A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M12B	0	0	0	1	11	7	1	0	0	0	1	5	5	5	1	0	0	1	4	6	0	0	7	4	11	0	0	0	0	0	0	6	22	0
M13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	16	13	2	4	6	3	1	2	1	0	47	0	0	0	135	0	0
M14A	11	10	11	19	28	51	53	4	4	9	1	0	28	5	3	1	10	17	17	12	7	5	4	3	0	4	6	7	13	63	12	137	11	20
M14B	23	21	21	0	0	0	0	7	5	5	1	0	2	0	4	1	1	9	3	1	2	21	0	0	0	13	11	5	13	29	23	77	1	0
M14C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M15B	0	0	0	1	2	5	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	10	4	2	10	6	6	5	1	0	0	70	22	7
M15C	0	0	0	9	13	29	29	0	0	4	1	0	3	1	4	0	0	128	75	8	8	0	0	0	0	3	2	0	1	0	0	0	0	0
M15D	6	5	6	15	22	54	57	8	6	11	0	5	0	0	0	0	0	9	3	0	1	11	0	0	0	3	3	3	7	0	0	66	0	16
M16A	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	5	8	1	2	5	2	0	0	1	13	12
M16B	14	23	19	82	102	64	64	27	45	45	24	57	34	31	32	6	14	89	72	57	30	20	13	5	12	33	20	20	24	0	0	9	30	35
M16C	0	0	0	3	19	3	2	0	0	0	4	0	4	5	6	1	0	62	41	12	4	10	0	0	0	15	21	56	16	2	18	7	7	20
M17	40	40	42	80	97	51	52	35	50	49	41	109	63	45	71	13	11	111	96	68	39	66	38	48	32	61	56	34	48	43	27	28	64	63
M18	6	7	7	4	17	13	8	5	17	12	1	0	2	6	2	0	0	9	7	8	1	46	20	18	4	25	34	4	24	2	18	7	7	4
M19	20	20	20	9	42	10	6	27	24	32	12	47	30	3	3	2	20	34	20	3	6	19	3	1	2	21	26	63	42	60	12	13	31	23
M20A	107	126	123	93	140	49	53	80	92	104	105	147	127	72	40	86	208	149	119	56	85	109	123	103	72	102	133	96	145	163	73	40	86	75
M20B	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	8	7	3	4	0	0	66	0	0
M20C	8	6	6	19	27	64	67	2	1	2	0	0	6	7	1	1	0	1	5	12	2	1	0	0	0	1	0	43	0	0	0	70	22	0
M20D	46	40	42	6	34	6	4	47	39	43	25	10	70	29	54	4	96	18	35	33	4	60	48	56	42	47	53	69	66	107	19	99	79	32
M20F	15	14	12	0	0	2	2	4	3	3	7	5	14	0	6	0	42	16	14	2	4	9	26	23	23	31	32	30	38	36	6	76	49	41
M20X	27	30	32	0	0	0	0	27	23	29	0	5	0	0	0	0	1	16	13	2	4	26	44	47	2	16	27	2	23	49	12	8	6	16
M23A	0	0	0	0	0	0	0	0	0	0	7	5	28	0	6	0	74	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M23B	58	64	56	185	159	247	243	73	130	121	93	114	247	95	72	15	295	290	218	142	77	98	99	100	118	100	97	156	89	49	44	444	150	101
M24A	65	67	64	71	43	29	34	60	72	74	27	86	87	62	32	85	123	190	136	67	95	84	69	54	72	84	86	129	82	79	33	93	45	93
M24B	101	100	93	84	83	64	65	100	99	107	79	90	93	70	84	82	112	112	95	70	83	85	79	75	53	75	73	128	70	91	54	99	75	73
M28A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	13	2	4	0	0	0	0	0	0	0	0	2	18	5	0	0
M28B	5	6	6	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	2	4	3	7	2	2	6	14	36	6	4	11	16
M28D	25	24	24	0	0	2	0	19	17	20	0	0	0	0	1	0	2	32	27	4	7	7	15	15	20	11	12	21	47	71	12	75	44	32
M28E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0
M28F	26	25	27	0	0	8	8	11	9	10	1	0	0	0	1	0	10	32	27	4	7	28	21	29	13	37	32	27	47	98	18	150	33	16
M28X	0	0	0	52	3	0	4	0	0	0	41	4	1	0	1	1	9	3	1	2	6	0	0	0	0	5	5	4	4	0	0	70	9	5
M29	13	10	8	0	0	0	0	4	3	3	7	6	25	0	7	0	39	1	3	0	1	4	13	10	6	5	11	6	4	0	0	3	13	32
M30	7	5	6	0	0	0	0	7	5	5	1	0	38	0	1	0	76	0	2	0	0	11	4	3	0	12	8	0	4	27	6	5	0	0
M32	13	15	14	0	0	0	0	11	10	12	17	6	35	6	13	5	46	0	4	1	1	6	11	8	9	16	26	22	12	10	2	4	10	20
M36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0
M38	49	51	55	108	163	108	110	58	101	107	73	29	94	82	34	79	100	125	97	73	34	98	72	59	46	87	83	187	66	78	83	46	100	118
M41	65	68	68	29	94	57	57	78	85	88	47	117	139	37	110	6	90	93	80	61	34	62	82	80	88	75	76	99	84	47	70	93	116	75
M42	7	7	7	11	14	15	14	11	14	16	13	22	103	39	15	71	188	11	16	6	20	17	19	27	12	22	25	19	15	0	0	72	29	20
M43B	2	2	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	20	29	9	5	6	2	2	0	0	0	0	0
M48A	6	7	8	28	64	77	78	13	34	38	20	53	38	29	12	7	8	3	21	38	9	36	29	23	19	21	13	13	7	11	64	73	28	0
M48B	7	6	7	72	56	20	16	11	19	18	63	70	20	38	13	50	1	79	59	37	60	28	17	17	8	14	8	56	6	5	53	16	9	5
M48C	1	3	2	68	85	26	26	18	31	32	34	102	39	36	18	5	2	164	109	66	16	54	21	16	9	40	25	154	19	3	36	153	21	0
M48X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	13	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
M49	7	8	8	1	0	14	17	2	2	3	0	0	0	0	0	0	0	0	0	0	0	3	9	8	11	9	10	7	4	0	0	70	22	0
M50A	0	0	0	0	0	0	0	0	0	0	2	0	0	1	8	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M50B	16	20	21	169	104	104	113	18	47	42	48	170	73	123	21	159	88	109	99	57	72	49	41	28	34	51	47	70	50	98	36	94	80	79
M50X	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	5	9	3	0	1	1	3	2	7	3	2	0	1	0	0	0	0	0
M54	0	0	0	53	7	1	7	0	0	0	4	7	6	8	3	10	7	1	4	17	30	0	0	16	4	0	0	0	0	0	0	0	0	0
M55	4	3	3	0	0	0	0	2	1	2	3	1	1	4	9	5	6	0	1	1	1	2	0	0	0	2	3	8	23	36	6	4	11	16
M56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0
M57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0
M60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M61	0	0	0	0	0	2	0	0	0	0	2	0	3	0	6	1	1	78	51	6	7	3	7	2	9	13	5	47	2	0	0	3	14	0
M64	1	2	3	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M66	4	3	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	62	37	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
M67A	2	2	3	0	0	0	0	3	2	3	42	1	1	0	0	1	4	1	0	1	2	11	10	8	4	5	11	6	4	0	0	2	7	20
M67B	8	10	11	54	12	4	9	10	7	8	7	11	7	12	3	8	9	2	5	10	33	8	13	6	20	13	10	7	2	0	0	1	22	29
M67C	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
M72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0
M75	0	0	0	0	0	0	0	1	1	5	11	52	19	9	4	1	0	15	8	12	5	0	0	0	0	3	2	1	4	2	18	5	0	0
M78	0	0	0	0	0	2	2	0	0	0	1	0	0	0	1	0	0	71	40	4	4	0	0	0	0	0	0	0	0	2	18	5	0	0
M79	8	10	11	1	7	4	3	8	8	9	1	0	21	3	2	2	14	9	5	2	8	22	24	16	25	22	13	7	7	2	18	210	43	0
M81	16	17	18	0	0	0	0	17	15	18	0	5	0	0	0	0	0	0	0	0	0	17	29	31	2	16	20	9	19	74	19	7	7	16
M82	15	11	10	0	0	0	0	25	17	18	7	1	11	7	39	3	3	0	3	2	0	15	7	5	7	16	12	6	7	17	3	1	13	12
M90	0	0	0	1	1	1	2	7	10	11	15	47	20	8	4	1	10	14	9	14	1	3	0	0	0	2	3	6	8	2	18	75	9	5
M97	5	6	6	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	5	0	0	69	0	0
M98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	4	0	0	0	0	0	0	0	0	0
N06	15	14	11	114	40	25	37	34	44	40	115	117	38	30	68	14	7	53	40	53	50	16	33	16	33	44	26	25	10	3	36	16	55	34
N09	0	0	0	15	21	46	48	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N10	0	0	0	10	14	5	6	0	0	0	3	8	7	34	2	51	9	0	5	9	26	7	0	16	4	0	0	0	0	0	0	0	0	0
N11	0	0	0	0	0	0	0	0	0	0	4	10	1	1	8	2	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
P01	33	36	34	0	0	0	0	10	8	11	3	1	28	4	2	3	56	9	6	1	1	3	1	6	0	5	7	10	35	0	0	1	9	5
S01A	0	0	0	0	0	0	0	0	0	0	1	0	2	0	4	1	0	0	1	1	1	3	0	0	0	3	2	0	1	2	18	5	0	0
S01B	14	16	10	1	7	6	3	9	16	11	0	5	0	0	0	0	0	9	3	0	1	17	14	16	13	8	5	1	2	0	0	0	0	0
S01C	42	53	52	69	55	48	44	47	55	67	69	211	152	55	74	14	132	183	145	86	52	92	114	83	107	118	116	165	121	98	36	102	136	128
S01D	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12	5	22	12	8	5	2	0	0	68	22	0
S01E	0	0	0	0	0	0	0	0	0	0	1	5	6	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S08A	30	25	28	54	8	9	16	24	18	19	34	67	33	8	21	1	36	78	59	12	15	41	27	23	22	35	26	93	12	42	61	230	1	40
S08B	5	4	4	0	0	0	0	3	1	2	11	47	8	0	1	0	0	0	0	0	0	6	0	0	0	12	8	0	4	27	6	0	0	0
S09A	46	43	44	0	0	3	4	26	23	25	16	11	1	4	13	4	3	73	58	8	17	24	51	42	63	48	48	43	93	145	42	298	91	90
S09B	18	18	19	1	0	10	10	10	9	10	20	52	17	10	10	1	12	119	86	16	15	36	33	34	27	27	33	80	64	145	42	90	65	92
S09C	120	131	125	11	14	49	46	77	76	81	19	11	37	12	19	6	89	262	150	24	27	54	70	60	36	50	57	143	111	73	30	97	77	120
S09D	11	10	12	0	0	0	0	9	7	9	0	0	0	0	0	0	0	0	0	0	0	16	6	10	6	4	3	8	11	36	6	70	11	16
S09X	141	154	144	62	42	20	22	153	162	173	75	127	40	7	18	3	93	332	200	36	43	144	128	114	61	174	212	241	172	102	94	418	159	166
S10	5	4	4	0	0	0	0	0	0	0	7	5	0	0	6	0	1	16	14	2	4	1	2	2	4	1	1	5	9	36	6	4	11	23
S11	6	12	8	5	34	4	4	40	46	50	22	62	24	19	50	2	2	225	143	42	16	36	18	8	23	34	22	149	24	67	83	34	56	35
S12	85	87	91	7	28	7	7	80	70	80	3	10	6	8	5	4	11	264	152	21	22	101	98	96	31	55	75	176	85	123	42	173	49	71
S13	15	12	11	15	42	45	37	9	11	17	16	47	28	20	42	2	0	17	16	26	4	6	5	4	4	7	7	10	13	2	18	6	13	12
S14	76	75	75	84	82	89	88	105	100	106	72	66	89	41	71	16	96	98	85	71	44	87	65	80	54	94	94	113	92	75	112	160	77	83
S15	15	12	14	0	0	0	0	15	11	13	0	0	0	0	0	0	1	16	13	2	4	13	24	29	8	21	17	4	14	52	12	79	13	0
S16	123	120	112	174	187	133	134	68	93	99	140	203	218	144	167	138	257	278	217	145	139	148	124	117	95	129	139	209	125	165	166	190	148	131
S24	76	90	89	15	52	28	31	49	60	66	28	62	53	24	27	4	78	324	214	59	31	73	75	50	82	80	74	219	77	26	24	93	92	31
S26A	48	48	48	76	89	56	64	25	42	38	20	57	85	41	15	5	91	110	96	59	23	60	40	30	25	41	34	73	43	37	24	91	48	44
S26B	0	0	0	9	10	4	3	0	0	0	6	8	0	17	10	32	0	1	3	9	24	0	0	0	0	0	0	0	0	0	0	0	0	29
S26C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
S33	231	259	251	172	192	155	160	187	200	220	120	197	132	50	116	12	123	1215	695	133	130	223	190	184	100	188	209	697	200	273	377	417	160	182
S41A	38	44	41	72	73	52	53	44	53	54	64	61	48	43	53	7	2	168	121	58	31	64	89	74	75	85	96	138	79	54	66	304	63	39
S41B	17	13	11	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	13	10	11	6	13	11	6	0	0	0	0	32
S45	12	14	12	0	0	1	3	16	14	16	1	0	24	0	1	0	70	19	8	1	2	23	18	19	10	8	15	8	6	73	30	9	11	36
S46	5	5	6	1	0	10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	10	13	12	10	7	0	0	2	43	0
S49A	0	0	0	2	14	1	2	0	0	0	2	0	1	4	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S49B	3	5	4	140	43	41	47	19	32	29	12	19	25	80	31	129	25	89	64	50	74	29	47	49	52	44	52	79	31	2	18	14	29	52
S49C	26	29	26	4	10	3	6	13	12	14	47	18	32	7	11	7	72	3	5	8	26	7	13	10	12	7	5	14	16	37	24	10	20	16
S49X	0	0	0	0	0	0	0	0	0	0	1	5	4	5	0	0	0	4	3	4	0	0	0	0	0	13	6	7	4	0	0	1	9	5
S51	22	17	16	0	0	1	2	12	14	15	0	0	1	4	2	0	0	0	4	5	0	7	14	12	22	24	37	33	42	36	6	141	46	52
S54	41	50	51	77	64	77	79	46	43	56	69	74	93	38	38	12	151	211	144	71	60	31	94	91	75	77	79	172	53	54	66	306	79	32
S55	0	0	0	0	0	0	0	4	4	4	1	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0
S66	3	2	3	2	14	1	3	5	4	4	2	0	1	4	1	1	1	25	19	10	5	4	5	7	2	6	5	6	2	0	0	69	0	0
S77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	7	0
S78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0
T01A	13	10	11	13	21	17	21	8	6	11	24	77	3	51	24	118	0	9	12	18	86	30	29	23	22	27	36	20	17	27	6	11	32	37
T01B	33	36	35	27	72	54	54	41	36	40	64	61	46	34	62	8	15	34	38	50	26	34	16	23	23	33	33	28	39	37	24	15	34	52
T01X	0	0	0	13	10	4	1	2	1	2	4	6	1	30	11	55	1	78	55	9	21	17	4	3	0	13	10	45	7	18	21	10	0	0
T02	47	41	42	0	0	0	0	47	35	38	16	26	11	6	45	19	3	2	4	4	15	18	42	42	38	30	37	40	77	96	19	216	73	64
T03	225	250	238	3	16	8	10	150	138	163	27	109	27	18	7	2	6	87	64	26	8	85	117	135	32	107	154	53	126	161	55	105	61	79
T05	40	46	45	92	93	76	78	37	51	53	26	67	47	62	29	61	20	95	78	72	64	46	68	48	78	50	57	68	40	26	24	14	22	39
U32	41	35	37	76	69	38	40	43	51	55	45	125	109	60	35	22	77	121	99	80	38	53	67	80	76	63	64	84	42	63	12	14	32	56
U56	0	0	0	52	3	0	4	0	0	0	39	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
U62	117	128	125	127	60	11	20	124	122	135	55	176	66	112	120	138	16	96	89	89	126	72	85	79	64	91	98	55	87	60	15	22	118	53
U69	0	0	0	0	0	0	0	7	9	11	1	0	0	0	1	0	0	71	40	4	4	0	3	2	7	1	0	43	0	0	0	0	0	0
U72	5	5	6	0	0	0	0	6	4	6	0	0	0	0	0	0	0	0	0	0	0	36	44	37	20	29	51	40	24	0	0	10	54	95
U73	0	0	0	1	4	1	1	2	6	7	11	47	9	0	3	0	0	75	40	4	4	2	0	0	0	1	0	43	0	2	18	5	0	0
